miner_id,deal_id,payload_cid,filename,size_in_bytes
f062353,1472204,baga6ea4seaqmhfuwmgjubtxt34ejjt3mmxkzvbjstxfn6qgc5qeen5z5g4jusny,sid.tar.10,34359738368
f02387,1474182,baga6ea4seaqmhfuwmgjubtxt34ejjt3mmxkzvbjstxfn6qgc5qeen5z5g4jusny,sid.tar.10,34359738368
f010617,1592064,baga6ea4seaqf6jj7gzueo4pza6ryjx4a6i3a6bqdvafmkhuomvrb7tsw4lbqaly,sid.tar.11,34359738368
f02387,1479251,baga6ea4seaqf6jj7gzueo4pza6ryjx4a6i3a6bqdvafmkhuomvrb7tsw4lbqaly,sid.tar.11,34359738368
f062353,1472206,baga6ea4seaqf6jj7gzueo4pza6ryjx4a6i3a6bqdvafmkhuomvrb7tsw4lbqaly,sid.tar.11,34359738368
f047419,1482348,baga6ea4seaqf6jj7gzueo4pza6ryjx4a6i3a6bqdvafmkhuomvrb7tsw4lbqaly,sid.tar.11,34359738368
f08403,1471976,baga6ea4seaqf6jj7gzueo4pza6ryjx4a6i3a6bqdvafmkhuomvrb7tsw4lbqaly,sid.tar.11,34359738368
f02387,1474033,baga6ea4seaqbcwcwrv5nwtxybaknhnj7rwpzsjertm2pt6wgq6y3cc74mlcsmfq,sid.tar.12,34359738368
f062353,1471703,baga6ea4seaqbcwcwrv5nwtxybaknhnj7rwpzsjertm2pt6wgq6y3cc74mlcsmfq,sid.tar.12,34359738368
f047419,1482706,baga6ea4seaqbcwcwrv5nwtxybaknhnj7rwpzsjertm2pt6wgq6y3cc74mlcsmfq,sid.tar.12,34359738368
f08403,1471256,baga6ea4seaqbcwcwrv5nwtxybaknhnj7rwpzsjertm2pt6wgq6y3cc74mlcsmfq,sid.tar.12,34359738368
f01278,1474112,baga6ea4seaqerrghtaedhjzywsvzdqcgffehvnz6nnzlr6wkdax6n7zig546unq,sphinx.tar.00,34359738368
f02401,1472672,baga6ea4seaqerrghtaedhjzywsvzdqcgffehvnz6nnzlr6wkdax6n7zig546unq,sphinx.tar.00,34359738368
f01278,1470581,baga6ea4seaqgwtpuzclfuybedsk4b2ev7xripd4mmjxdkqaxbltvttlwo7ioilq,sphinx.tar.01,34359738368
f02401,1472833,baga6ea4seaqgwtpuzclfuybedsk4b2ev7xripd4mmjxdkqaxbltvttlwo7ioilq,sphinx.tar.01,34359738368
f02401,1473544,baga6ea4seaqmubdjxguzui6pjtdk7cusfvxmxglvsvneo4c3zklnjjn2ej4rgia,sphinx.tar.02,34359738368
f01278,1470552,baga6ea4seaqmubdjxguzui6pjtdk7cusfvxmxglvsvneo4c3zklnjjn2ej4rgia,sphinx.tar.02,34359738368
f01278,1470445,baga6ea4seaqp3g2g6mqzf2egwvc7rns23ggmitdhpz5q3xt54mr5v4dsi273gmq,sphinx.tar.03,34359738368
f02401,1472902,baga6ea4seaqp3g2g6mqzf2egwvc7rns23ggmitdhpz5q3xt54mr5v4dsi273gmq,sphinx.tar.03,34359738368
f02401,1473136,baga6ea4seaqfafuxitwkxql53tngyy4adgjznptb3abkfnyna6z3oacmhgfkipi,sphinx.tar.04,34359738368
f01278,1470492,baga6ea4seaqfafuxitwkxql53tngyy4adgjznptb3abkfnyna6z3oacmhgfkipi,sphinx.tar.04,34359738368
f01278,1474819,baga6ea4seaqlux6jhvnmeixjl653zev7kzcvvwwsms53zjovxhn7oqvsgdqbafi,sphinx.tar.05,17179869184
f022142,1482340,baga6ea4seaqi7y3ut2m6g5hacqucpb6ivinds5bwp5idp44l7fk43u46kng2wma,star.tar.00,34359738368
f09848,1479864,baga6ea4seaqi7y3ut2m6g5hacqucpb6ivinds5bwp5idp44l7fk43u46kng2wma,star.tar.00,34359738368
f022142,1484897,baga6ea4seaqbhr6nfyy7oyuvrnrzfajle7p3wjzejpwlpc233bl4qxbmjahzmby,star.tar.01,34359738368
f09848,1479876,baga6ea4seaqbhr6nfyy7oyuvrnrzfajle7p3wjzejpwlpc233bl4qxbmjahzmby,star.tar.01,34359738368
f022142,1481206,baga6ea4seaqftywojdwgpt6tz5q3psxejb4oezwfhciqcg6qtspewsxgrrwfudq,star.tar.02,34359738368
f09848,1479343,baga6ea4seaqftywojdwgpt6tz5q3psxejb4oezwfhciqcg6qtspewsxgrrwfudq,star.tar.02,34359738368
f022142,1485082,baga6ea4seaqgiugappq67xhy5kucqggr5felc7jcmhpku6f4r7ezgrzospz7qmi,star.tar.03,34359738368
